transaction_id,cart_size,transaction_amount,transaction_type,transaction_status,customer_age_group,session_duration,time_spent_on_payment_page,customer_ip_location,card_expiration_delay,payment_method,login_status,time_since_account_creation,ip_address_previous_transactions,user_segment,product_views_during_session,visit_origin,device_type,flag
3196838,2,98,product,complete,36-45,7.0,24.79,non-eu/unknown,19,creditcard,logged-in,317,0,AE1R,6.0,paid,mobile,0
3110633,1,50,product,complete,,11.31,41.66,local,19,creditcard,logged-in,0,1,,3.0,search engine,mobile,0
3001985,4,220,product,complete,,36.1,26.63,local,16,creditcard,logged-in,369,0,3R3T,4.0,paid,mobile,0
3236215,1,27,product,complete,,,,local,15,creditcard,guest,-99999,2,,,,,1
3260323,1,43,product,complete,18-25,11.53,,local,-1,4x,logged-in,67,0,NZ9Z,8.0,email,mobile,0
3151178,2,111,service,complete,,16.67,24.62,local,21,creditcard,logged-in,1353,0,UPET,9.0,direct,mobile,0
3209091,2,122,product,complete,,18.18,36.34,local,22,creditcard,guest,-99999,0,,11.0,direct,desktop,0
3115052,1,43,product,complete,,9.57,32.6,local,22,creditcard,guest,-99999,0,,7.0,direct,mobile,0
3173604,2,66,product,complete,,8.73,31.37,local,22,creditcard,logged-in,952,1,X254,5.0,search engine,desktop,0
3290791,1,32,product,complete,36-45,10.86,34.29,local,16,creditcard,logged-in,604,1,QIB9,10.0,direct,desktop,0
3229412,3,194,product,complete,26-35,45.17,19.43,eu,15,creditcard,logged-in,1128,0,LMYN,5.0,direct,mobile,0
3236237,2,131,product,complete,,10.77,,local,-1,instore,guest,-99999,1,,5.0,search engine,mobile,0
3098507,2,62,service,complete,,16.93,,local,-1,4x,logged-in,959,1,H1KS,12.0,search engine,mobile,0
3041549,3,174,product,complete,,,,local,21,creditcard,guest,-99999,0,,,,,0
3058791,1,44,product,pending,,13.01,,local,-1,3rd party,logged-in,327,0,,7.0,direct,mobile,0
3110129,1,78,product,complete,,10.22,,eu,-1,3rd party,guest,-99999,1,,7.0,paid,desktop,0
3041614,3,163,product,complete,18-25,33.7,38.14,local,27,creditcard,logged-in,557,0,9SL7,6.0,direct,app,0
3111425,1,64,product,complete,56+,,,local,15,creditcard,logged-in,0,0,,,,,0
3217682,1,46,product,complete,,,,local,24,creditcard,guest,-99999,2,,,,,0
3071408,1,57,product,complete,56+,6.65,21.3,non-eu/unknown,19,creditcard,logged-in,387,1,T76E,8.0,direct,mobile,0
3008462,2,117,product,complete,,22.58,,local,-1,instore,logged-in,42,1,JYYA,12.0,direct,desktop,0
3265571,1,62,product,complete,36-45,10.29,34.0,local,14,creditcard,logged-in,149,2,M0BQ,6.0,search engine,desktop,0
3010434,1,67,product,complete,,15.21,24.19,local,24,creditcard,logged-in,451,2,7ZUQ,5.0,paid,desktop,1
3007345,2,91,product,complete,26-35,22.62,,local,-1,3rd party,logged-in,121,0,WZWX,3.0,search engine,mobile,0
3129912,1,28,product,pending,,7.6,,local,-1,4x,logged-in,310,0,928S,9.0,search engine,mobile,0
3051323,2,107,service,complete,,19.16,30.15,local,16,3rd party,guest,-99999,0,,2.0,paid,app,1
3148964,4,264,product,complete,26-35,44.02,31.47,local,17,creditcard,logged-in,400,0,HACU,7.0,search engine,mobile,0
3269324,1,67,product,complete,,8.7,,local,-1,4x,logged-in,320,2,QIB9,6.0,direct,desktop,0
